12/11/2019,2T23948718,6397643361
12/11/2019,2T23949185,6397642436
12/11/2019,2T23949349,6397642392
12/11/2019,2T23949389,6397640480
12/11/2019,2T23949522,1208612230
12/11/2019,2T23949710,6397640410
12/11/2019,2T23949767,6397639393
12/11/2019,2T23950097,6397639242
12/11/2019,2T23950200,1208612226
12/11/2019,2ZF1000196,6397638380
12/11/2019,2ZF1005760,6397638236
12/11/2019,2ZF1020772,6397619745
12/11/2019,2ZF1023182,6397635963
12/11/2019,2ZF1023513,6397616256
12/11/2019,2ZF1023587,6397616654
12/11/2019,2ZF1024164,6397618264
12/11/2019,2ZF1024356,6397618404
12/11/2019,2ZF1024511,6397635974
12/11/2019,2ZF1024576,6397634283
12/11/2019,2ZF1024904,6397634316
12/11/2019,2ZF1025188,6397633152
12/11/2019,2ZF1025367,6397633115
12/11/2019,2ZF1025386,6397632076
12/11/2019,2ZF1025454,6397631940
12/11/2019,2ZF1025546,6397630610
12/11/2019,2ZF1025871,6397630422
12/11/2019,2ZF1026001,6397629346
12/11/2019,2ZF1026334,6397629162
12/11/2019,2ZF1026349,6397628064
12/11/2019,2ZF1026481,6397627994
12/11/2019,2ZF1026527,6397626922
12/11/2019,2ZF1026625,6397626734
12/11/2019,2ZF1026630,6397625544
12/11/2019,2ZF1026660,6397625511
12/11/2019,2ZF1027399,6397616912
12/11/2019,2ZF1027447,6397624332
12/11/2019,2ZF1027524,6397624273
12/11/2019,2ZF1027937,6397623120
12/11/2019,2ZF1028006,6397623061
12/11/2019,2ZF1028512,6397622055
12/11/2019,2ZF1029117,6397621963
12/11/2019,2ZF1029931,6397620655
12/11/2019,2ZF1030437,6397620795
12/11/2019,50H3193958,6397619620
12/11/2019,2T23945553,6397709290
12/11/2019,2T23945923,6397723102
12/11/2019,2T23949897,6397722973
12/11/2019,2T23950652,6397722601
12/11/2019,2ZF1007904,6397709640
12/11/2019,2ZF1011810,6397722435
12/11/2019,2ZF1011989,6397721923
12/11/2019,2ZF1022550,1208612252
12/11/2019,2ZF1025101,6397721271
12/11/2019,2ZF1025166,6397710491
12/11/2019,2ZF1025278,6397718611
12/11/2019,2ZF1025847,6397717933
12/11/2019,2ZF1025973,6397710686
12/11/2019,2ZF1026197,6397717874
12/11/2019,2ZF1026835,6397715671
12/11/2019,2ZF1027007,6397716220
12/11/2019,2ZF1027229,6397715586
12/11/2019,2ZF1027649,6397714632
12/11/2019,2ZF1027826,6397712204
12/11/2019,2ZF1028028,6397713976
12/11/2019,2ZF1028664,6397713906
12/11/2019,2ZF1030574,6397713195
12/11/2019,50H3194216,6397712344
12/11/2019,2T23948551,6016727533
12/11/2019,2T23949586,6016727452
12/11/2019,2T23950222,6016727356
12/11/2019,2T23950336,6016727415
12/11/2019,2T23951441,6016723871
12/11/2019,2T23951480,6016724711
12/11/2019,2ZF1010403,6016726214
12/11/2019,2ZF1023459,6016725131
12/11/2019,2ZF1030148,6016726096
12/11/2019,50H3194448,6016727312
13/11/2019,2T23945784,3318481460
13/11/2019,2T23946768,3318481596
13/11/2019,2T23947515,3318481423
13/11/2019,2T23952030,3318480734
13/11/2019,2T23952441,3318480804
13/11/2019,2T23952654,3318479894
13/11/2019,2T23952905,3318479824
13/11/2019,2T23953398,3318478855
13/11/2019,2T23953730,3318479161
13/11/2019,2T23953827,3318478376
13/11/2019,2T23954326,3318478170
13/11/2019,2T23954386,3318477433
13/11/2019,2T23955052,3318477315
13/11/2019,2T23955329,3318475786
13/11/2019,2T23955445,3318476980
13/11/2019,2ZD9787625,3318475392
13/11/2019,2ZD9788700,3318474353
