31/12/2019,2T24409948,5111836321
31/12/2019,2T24414315,5111836240
31/12/2019,2T24427314,5111836170
31/12/2019,2T24430228,5111836122
31/12/2019,2T24434159,5111836063
31/12/2019,2T24437614,5111834151
31/12/2019,2T24438275,5111836015
31/12/2019,2T24438455,5111835901
31/12/2019,2T24441624,5111834210
31/12/2019,2T24442615,5111835886
31/12/2019,2T24443697,5111835831
31/12/2019,2T24444824,5111835794
31/12/2019,2T24445563,5111835783
31/12/2019,2T24445794,5111835761
31/12/2019,2T24445817,5111835680
31/12/2019,2T24446367,5111833005
31/12/2019,2T24446487,5111835665
31/12/2019,2T24446502,5111835595
31/12/2019,2T24446632,5111835540
31/12/2019,2T24446659,5111835503
31/12/2019,2T24447217,4127724370
31/12/2019,2T24447354,5111835470
31/12/2019,2T24447551,5111835455
31/12/2019,2T24448120,4127724381
31/12/2019,2T24448478,5111835330
31/12/2019,2T24448709,5111835256
31/12/2019,2T24449462,5111833521
31/12/2019,2T24449587,5111835201
31/12/2019,2T24449649,5111835153
31/12/2019,2T24449944,5111835116
31/12/2019,2T24450200,5111835024
31/12/2019,2T24450347,5111834980
31/12/2019,2T24450364,5111833650
31/12/2019,2T24450529,5111834825
31/12/2019,2T24450705,5111833661
31/12/2019,2T24450730,5111834766
31/12/2019,2ZF1716215,5111833694
31/12/2019,2ZF1744474,5111833720
31/12/2019,2ZF1753722,5111833790
31/12/2019,2ZF1755383,5111834733
31/12/2019,2ZF1756546,4127724425
31/12/2019,2ZF1759067,5111834663
31/12/2019,2ZF1763285,5111833856
31/12/2019,2ZF1764381,5111834571
31/12/2019,2ZF1769024,5111834556
31/12/2019,2ZF1769419,5111834512
31/12/2019,2ZF1769939,5111834486
31/12/2019,2ZF1773201,5111834453
31/12/2019,2ZF1775156,5111834394
31/12/2019,2ZF1775300,5111834361
31/12/2019,2ZF1777167,5111834335
31/12/2019,2ZF1777333,4127724333
31/12/2019,2ZF1777768,4127724355
31/12/2019,2ZF1780398,5111834276
31/12/2019,2ZF1780460,5111834254
31/12/2019,2ZF1780970,5111839191
31/12/2019,2ZF1781251,5111839132
31/12/2019,2ZF1781449,5111839084
31/12/2019,2ZF1781540,5111839014
31/12/2019,2ZF1781702,5111838966
31/12/2019,2ZF1783183,5111838900
31/12/2019,2ZF1783378,5111838826
31/12/2019,2ZF1783396,5111833904
31/12/2019,2ZF1783406,5111833941
31/12/2019,2ZF1783587,4127724344
31/12/2019,2ZF1783709,5111838793
31/12/2019,2ZF1783985,5111838723
31/12/2019,2ZF1785373,5111838642
31/12/2019,2ZF1785390,5111833963
31/12/2019,2ZF1785503,5111838620
31/12/2019,2ZF1786267,5111838572
31/12/2019,2ZF1786342,5111838524
31/12/2019,2ZF1786448,5111838454
31/12/2019,2ZF1787269,5111838406
31/12/2019,2ZF1787272,5111838340
31/12/2019,2ZF1787498,5111838303
31/12/2019,2ZF1788184,5111838163
31/12/2019,2ZF1788346,5111834022
