690095,-1,EA,50H2990366,oracle
298A,-1,EA,50H2990366,oracle
0963MX,-1,EA,50H2990366,oracle
4011MX,-1,EA,50H2990366,oracle
4000MX,-1,EA,50H2990366,oracle
9947MX,-1,EA,50H2990366,oracle
600017,-1,EA,50H2990366,oracle
8504MX,-1,EA,50H2990366,oracle
7056MX,-1,EA,50H2990366,oracle
0964MX,-1,EA,2ZD8481790,oracle
0064MX,-1,EA,2ZD8481790,oracle
0079MX,-1,EA,2ZD8481790,oracle
1094MX,-1,EA,2ZD8481790,oracle
3123MX,-1,EA,2ZD8481790,oracle
0565MX,-1,EA,2ZD8481790,oracle
0032MX,-1,EA,2ZD8481790,oracle
3100MX,-1,EA,2ZD8481790,oracle
3115MX,-1,EA,2ZD8481790,oracle
0831MX,-1,EA,2ZD8474905,oracle
2631MX,-1,EA,2ZD8474905,oracle
0364MX,-1,EA,2ZD8474905,oracle
3119MX,-1,EA,2ZD8474905,oracle
0413MX,-1,EA,2ZD8474905,oracle
3525MX,-1,EA,2ZD8474905,oracle
3150MX,-1,EA,2ZD8474905,oracle
0884MX,-1,EA,2T23042057,oracle
3175MX,-1,EA,2T23042057,oracle
2631MX,-1,EA,2T23030497,oracle
0922MX,-2,EA,2T23030497,oracle
0964MX,-1,EA,2T23030497,oracle
4004MX,-1,EA,2T23030497,oracle
4000MX,-2,EA,2T23030497,oracle
2641MX,-1,EA,2T23030497,oracle
1065MX,-1,EA,2T23030497,oracle
1094MX,-1,EA,2T23030497,oracle
0032MX,-1,EA,2T23030497,oracle
1019MX,-1,EA,2T23030497,oracle
1061MX,-1,EA,2ZD8480929,oracle
0899MX,-1,EA,2ZD8480929,oracle
0767MX,-3,EA,2ZD8480929,oracle
0773MX,-1,EA,2ZD8480929,oracle
0766MX,-2,EA,2ZD8480929,oracle
0413MX,-2,EA,2ZD8480929,oracle
1094MX,-1,EA,2ZD8480929,oracle
0565MX,-1,EA,2ZD8480929,oracle
3150MX,-1,EA,2ZD8480929,oracle
0032MX,-1,EA,2ZD8480929,oracle
3100MX,-1,EA,2ZD8480929,oracle
1155MX,-1,EA,2ZD8480929,oracle
3175MX,-2,EA,2ZD8480929,oracle
4000MX,-1,EA,2ZD8432850,oracle
0085MX,-4,EA,2ZD8432850,oracle
1019MX,-1,EA,2ZD8432850,oracle
0065MX,-1,EA,2ZD8432850,oracle
0884MX,-2,EA,2T23041782,oracle
2631MX,-2,EA,2T23041782,oracle
4001MX,-1,EA,2T23041782,oracle
1065MX,-2,EA,2T23041782,oracle
0085MX,-1,EA,2T23041782,oracle
1019MX,-2,EA,2T23041782,oracle
3175MX,-1,EA,2T23041782,oracle
4000MX,-1,EA,2T23041774,oracle
